"ID" "EV" "WMLR" "WEV" "BWMLR" "BWEV" "CPN" "TCS" "ECI" "LIT" "AILI" "TILI" "MILI" "II"
"1" "GS996" 0.174689440993789 1 1.62055335968379 0.928571428571429 4.61818181818182 20 117 5.85 27 2.8 14 5 1.8
"2" "GS975" 0.167624223602484 1 1.44268774703557 1 4 20 119 5.95 28 2 12 2 1.7
"3" "GS769" 0.222204968944099 1 4.0395256916996 1 13.8181818181818 17 99 5.82352941176471 26 3.25 39 10 3.11764705882353
"4" "GS991" 0.184704968944099 1 1.67588932806324 0.857142857142857 1.85454545454545 24 117 4.875 29 2.25 18 3 1.625
"5" "GS907" 0.202639751552795 1 2.49802371541502 1 8.16363636363636 21 108 5.14285714285714 30 2.875 23 8 2.14285714285714
"6" "GS916" 0.199844720496894 1 2.99209486166008 1 10.8181818181818 20 112 5.6 25 3.71428571428571 26 11 2.2
"7" "GS810" 0.215450310559006 1 2.78656126482213 0.928571428571429 10.2181818181818 21 101 4.80952380952381 31 3.375 27 9 2.38095238095238
"8" "GS547" 0.236801242236025 0.857142857142857 2.69169960474308 0.785714285714286 9.45454545454546 28 90 3.21428571428571 39 4.66666666666667 28 13 2.17857142857143
"9" "GS461" 0.242236024844721 1 4.24110671936759 0.857142857142857 13.6727272727273 20 89 4.45 27 4.16666666666667 50 16 3.25
"10" "GS113" 0.251319875776398 0.857142857142857 3.24901185770751 0.785714285714286 12.2909090909091 23 68 2.95652173913043 38 4.07692307692308 53 27 3.39130434782609
"11" "GS793" 0.226319875776398 1 4.70355731225296 1 13.8909090909091 19 101 5.31578947368421 25 4.75 38 21 2.89473684210526
"12" "GS508" 0.23361801242236 1 2.5296442687747 0.928571428571429 7.09090909090909 24 94 3.91666666666667 32 2.8 42 6 2.45833333333333
"13" "GS797" 0.21777950310559 1 2.26877470355731 1 7.65454545454545 27 103 3.81481481481481 35 3 24 7 1.88888888888889
"14" "GS692" 0.230124223602484 1 4.07905138339921 0.928571428571429 13.6909090909091 20 93 4.65 31 4.71428571428571 33 19 2.85
"15" "GS522" 0.244487577639752 0.857142857142857 2.71936758893281 0.857142857142857 10.8181818181818 23 79 3.43478260869565 38 3.9 39 16 2.91304347826087
"16" "GS791" 0.207996894409938 1 2.49802371541502 1 8.29090909090909 22 106 4.81818181818182 30 3.42857142857143 24 11 2.13636363636364
"17" "GS411" 0.243400621118012 1 2.57312252964427 0.785714285714286 6.85454545454545 23 75 3.26086956521739 43 3.55555555555556 32 7 2.8695652173913
"18" "GS146" 0.251086956521739 1 4.14624505928854 0.928571428571429 15.8181818181818 15 57 3.8 36 4.42857142857143 62 33 5.6
"19" "GS311" 0.251086956521739 1 3.05533596837945 0.785714285714286 10.2545454545455 22 71 3.22727272727273 36 3.27777777777778 59 19 3.5
"20" "GS443" 0.23361801242236 1 4.71146245059289 1 15.4 21 98 4.66666666666667 26 4.66666666666667 42 22 2.80952380952381
"21" "GS709" 0.228260869565217 0.857142857142857 3.5296442687747 0.857142857142857 11.8909090909091 22 98 4.45454545454545 30 4.25 34 17 2.54545454545455
"22" "GS789" 0.220031055900621 1 2.92885375494071 0.928571428571429 11.8545454545455 25 104 4.16 30 4.14285714285714 29 16 2.08
"23" "GS802" 0.21304347826087 0.857142857142857 1.75494071146245 0.857142857142857 4.21818181818182 29 108 3.72413793103448 33 3.28571428571429 23 9 1.68965517241379
"24" "GS718" 0.21304347826087 1 4.11857707509881 0.928571428571429 14.6545454545455 21 105 5 28 6.25 25 17 2.33333333333333
"25" "GS192" 0.251475155279503 1 3.71146245059289 0.785714285714286 11.6909090909091 21 66 3.14285714285714 38 4.15384615384615 54 23 3.76190476190476
"26" "GS608" 0.231909937888199 0.857142857142857 1.89723320158103 0.785714285714286 4.29090909090909 30 93 3.1 41 2.88888888888889 26 8 1.93333333333333
"27" "GS374" 0.244487577639752 1 3.17391304347826 0.928571428571429 11.4545454545455 23 81 3.52173913043478 37 3.72727272727273 41 13 2.91304347826087
"28" "GS039" 0.246428571428571 0.857142857142857 4.09090909090909 0.785714285714286 13.8909090909091 15 53 3.53333333333333 32 5.61538461538461 73 32 6.13333333333333
"29" "GS897" 0.196972049689441 1 3.20948616600791 1 11.2727272727273 18 110 6.11111111111111 27 4.2 21 11 2.38888888888889
"30" "GS798" 0.21304347826087 1 2.300395256917 0.928571428571429 5.76363636363636 23 105 4.56521739130435 31 2.5 30 4 2.1304347826087
"31" "GS696" 0.220031055900621 0.857142857142857 1.20158102766798 0.857142857142857 2.87272727272727 31 101 3.25806451612903 39 2.85714285714286 20 5 1.67741935483871
"32" "GS442" 0.242236024844721 0.857142857142857 3.05928853754941 0.857142857142857 10.4181818181818 25 85 3.4 36 3.23076923076923 42 17 2.6
"33" "GS373" 0.238276397515528 1 3.49407114624506 1 10.4545454545455 19 84 4.42105263157895 35 4 36 9 3.26315789473684
"34" "GS867" 0.202639751552795 0.857142857142857 1.22529644268775 0.857142857142857 3.2 26 105 4.03846153846154 37 2.33333333333333 14 4 1.73076923076923
"35" "GS979" 0.181444099378882 1 1.96442687747036 1 6.56363636363636 19 118 6.21052631578947 25 2.85714285714286 20 6 2
"36" "GS431" 0.245496894409938 0.857142857142857 2.95256916996047 0.857142857142857 9.41818181818182 23 81 3.52173913043478 36 3.90909090909091 43 18 2.95652173913043
"37" "GS100" 0.251475155279503 1 4.07509881422925 0.928571428571429 14 17 68 4 31 3.66666666666667 66 21 4.64705882352941
"38" "GS786" 0.222204968944099 0.857142857142857 2.49407114624506 0.857142857142857 8.87272727272727 21 96 4.57142857142857 34 3.375 27 11 2.52380952380952
"39" "GS474" 0.245496894409938 1 4.04347826086957 0.857142857142857 13.6 19 85 4.47368421052632 28 3.5 56 18 3.57894736842105
"40" "GS936" 0.199844720496894 1 2.71936758893281 0.928571428571429 5.16363636363636 20 106 5.3 31 2.85714285714286 20 7 2.2
"41" "GS550" 0.235248447204969 1 2.79446640316206 0.857142857142857 10.6181818181818 25 93 3.72 33 3.45454545454545 38 15 2.4
"42" "GS902" 0.205357142857143 1 2.09090909090909 0.928571428571429 7.09090909090909 24 108 4.5 31 3.14285714285714 22 10 1.91666666666667
"43" "GS187" 0.251475155279503 0.857142857142857 4.07509881422925 0.785714285714286 16.9636363636364 18 63 3.5 34 5.36363636363636 59 34 4.55555555555556
"44" "GS285" 0.24805900621118 1 4.44664031620553 0.928571428571429 17.6909090909091 20 80 4 30 4.72727272727273 52 12 3.55
"45" "GS169" 0.251552795031056 1 3.98814229249012 0.785714285714286 14.2 19 71 3.73684210526316 30 6 60 29 4.21052631578947
"46" "GS803" 0.222204968944099 1 3.0395256916996 0.928571428571429 11.2545454545455 24 102 4.25 31 3.44444444444444 31 13 2.20833333333333
"47" "GS708" 0.224301242236025 1 4.23715415019763 0.857142857142857 14.0909090909091 22 102 4.63636363636364 27 3.7 37 15 2.45454545454545
"48" "GS478" 0.243400621118012 1 3.84584980237154 0.785714285714286 13.7636363636364 22 82 3.72727272727273 35 4.44444444444444 40 24 3
"49" "GS675" 0.224301242236025 1 2.05533596837945 0.857142857142857 4.65454545454545 24 95 3.95833333333333 37 2.7 27 7 2.25
"50" "GS871" 0.205357142857143 1 2.81818181818182 0.928571428571429 7.2 20 106 5.3 29 2.7 27 8 2.3
"51" "GS812" 0.21055900621118 1 3.62845849802372 1 13.4909090909091 20 106 5.3 27 3.625 29 12 2.4
"52" "GS651" 0.230124223602484 1 3.53359683794466 1 13.4909090909091 22 98 4.45454545454545 28 4.22222222222222 38 17 2.59090909090909
"53" "GS831" 0.230124223602484 1 3.80632411067194 0.928571428571429 12.8 24 100 4.16666666666667 28 4.22222222222222 38 20 2.375
"54" "GS715" 0.230124223602484 1 3.44268774703557 0.928571428571429 13.4909090909091 19 92 4.84210526315789 32 4.125 33 17 3
"55" "GS776" 0.224301242236025 1 4.69169960474308 1 17.6727272727273 18 97 5.38888888888889 28 4.25 34 20 3
"56" "GS919" 0.205357142857143 1 3.54545454545455 1 13.8 18 104 5.77777777777778 29 4.4 22 11 2.55555555555556
"57" "GS131" 0.251086956521739 0.857142857142857 3.87351778656126 0.785714285714286 15.0545454545455 21 63 3 35 5.08333333333333 61 32 4
"58" "GS451" 0.243400621118012 1 3.20948616600791 0.785714285714286 9.4 24 84 3.5 35 4.44444444444444 40 18 2.75
"59" "GS364" 0.247282608695652 0.857142857142857 3.6798418972332 0.785714285714286 13.7636363636364 24 80 3.33333333333333 35 4.88888888888889 44 26 2.91666666666667
"60" "GS600" 0.235248447204969 1 3.70355731225296 0.857142857142857 12.3636363636364 20 90 4.5 31 3.9 39 16 3
"61" "GS881" 0.21304347826087 1 3.57312252964427 0.928571428571429 13.0181818181818 24 106 4.41666666666667 30 7.33333333333333 22 18 2.04166666666667
"62" "GS557" 0.240993788819876 0.857142857142857 3.63241106719368 0.857142857142857 13.8181818181818 23 90 3.91304347826087 30 4.77777777777778 43 24 2.78260869565217
"63" "GS637" 0.226319875776398 1 2.3399209486166 0.928571428571429 7.47272727272727 25 98 3.92 33 2.57142857142857 36 6 2.2
