"ID" "EV" "WMLR" "WEV" "BWMLR" "BWEV" "CPN" "TCS" "ECI" "LIT" "AILI" "TILI" "MILI" "II"
"1" "GS996" 0.107433217189315 1 0.566666666666667 0.928571428571429 1.33333333333333 3 35 11.6666666666667 5 0 0 0 1.66666666666667
"2" "GS975" 0.107433217189315 1 2.56666666666667 1 8.33333333333333 2 35 NA 4 2 2 2 2.5
"3" "GS769" 0.172473867595819 1 5.5 1 19 3 33 11 3 4 8 6 3
"4" "GS991" 0.157955865272938 1 2.66666666666667 0.857142857142857 1.33333333333333 3 31 10.3333333333333 5 2.5 5 3 2.66666666666667
"5" "GS907" 0.209059233449477 1 8.4 1 37 2 27 13.5 5 8 8 8 6
"6" "GS916" 0.227642276422764 1 7.46666666666667 1 32.3333333333333 4 28 7 4 11 11 11 3.5
"7" "GS810" 0.250871080139373 1 8 0.857142857142857 37 3 22 7.33333333333333 5 7.5 15 9 6
"8" "GS547" 0.253774680603949 0.857142857142857 6.96666666666667 0.785714285714286 33.3333333333333 5 22 4.4 7 13 13 13 3.8
"9" "GS461" 0.255516840882695 1 9.06666666666667 0.785714285714286 40.3333333333333 3 20 6.66666666666667 5 16 16 16 6.66666666666667
"10" "GS113" 0.185830429732869 0.714285714285714 5.06666666666667 0.642857142857143 24.3333333333333 2 9 4.5 4 10.3333333333333 31 27 16
"11" "GS793" 0.246806039488966 0.857142857142857 9.76666666666667 0.785714285714286 30.3333333333333 3 16 5.33333333333333 5 21 21 21 8.33333333333333
"12" "GS508" 0.235191637630662 1 5.1 0.928571428571429 16 4 25 6.25 6 3.25 13 6 3.75
"13" "GS797" 0.241579558652729 1 7.06666666666667 1 30.3333333333333 4 24 6 6 4.33333333333333 13 7 4
"14" "GS692" 0.253774680603949 0.857142857142857 9.76666666666667 0.857142857142857 36.3333333333333 2 16 8 5 19 19 19 11.5
"15" "GS522" 0.255516840882695 0.857142857142857 8.26666666666667 0.857142857142857 41.3333333333333 4 21 5.25 5 16 16 16 5
"16" "GS791" 0.235191637630662 1 6.7 0.857142857142857 27 4 26 6.5 5 11 11 11 3.75
"17" "GS411" 0.253774680603949 0.857142857142857 3.36666666666667 0.571428571428571 4.33333333333333 4 13 3.25 10 4.25 17 7 5.75
"18" "GS146" 0.157955865272938 0.857142857142857 5.86666666666667 0.571428571428571 21.3333333333333 1 7 7 2 33 33 33 NA
"19" "GS311" 0.185830429732869 0.571428571428571 2.26666666666667 0.428571428571429 9.33333333333333 3 7 2.33333333333333 6 6.2 31 19 10.6666666666667
"20" "GS443" 0.255516840882695 1 13.4666666666667 1 49.3333333333333 1 20 NA 1 22 22 22 22
"21" "GS709" 0.241579558652729 0.857142857142857 7.06666666666667 0.714285714285714 25.3333333333333 4 13 3.25 7 7.33333333333333 22 17 6.5
"22" "GS789" 0.25609756097561 0.857142857142857 7.9 0.857142857142857 39 5 20 4 6 16 16 16 4.2
"23" "GS802" 0.227642276422764 0.857142857142857 5.46666666666667 0.857142857142857 14.3333333333333 6 28 4.66666666666667 6 9 9 9 2.33333333333333
"24" "GS718" 0.255516840882695 1 11.0666666666667 0.928571428571429 42.3333333333333 2 18 9 4 10 20 17 11
"25" "GS192" 0.218931475029036 0.857142857142857 6.56666666666667 0.714285714285714 26.3333333333333 3 12 4 5 9 27 23 9.66666666666667
"26" "GS608" 0.250871080139373 0.857142857142857 4.4 0.714285714285714 12 7 23 3.28571428571429 9 4 12 8 2.57142857142857
"27" "GS374" 0.250871080139373 1 8 0.928571428571429 39 5 23 4.6 6 13 13 13 3.6
"28" "GS039" 0.142276422764228 0.714285714285714 4.16666666666667 0.5 16.3333333333333 2 5 2.5 4 32 32 32 17.5
"29" "GS897" 0.227642276422764 1 8.66666666666667 1 41.3333333333333 2 26 13 4 11 11 11 7
"30" "GS798" 0.198025551684088 1 3.76666666666667 0.928571428571429 9.33333333333333 5 30 6 6 2.66666666666667 8 4 2.2
"31" "GS696" 0.218931475029036 0.857142857142857 2.56666666666667 0.857142857142857 6.33333333333333 7 27 3.85714285714286 9 5 5 5 1.85714285714286
"32" "GS442" 0.253774680603949 0.857142857142857 7.36666666666667 0.714285714285714 30.3333333333333 4 17 4.25 6 9.5 19 17 5.75
"33" "GS373" 0.185830429732869 1 3.46666666666667 1 9.33333333333333 4 30 7.5 6 3 6 4 2.5
"34" "GS867" 0.227642276422764 0.857142857142857 2.66666666666667 0.857142857142857 9.33333333333333 5 25 5 9 2.66666666666667 8 4 2.8
"35" "GS979" 0.142276422764228 1 2.56666666666667 1 10.3333333333333 4 35 8.75 4 4 4 4 1.75
"36" "GS431" 0.246806039488966 0.857142857142857 5.76666666666667 0.642857142857143 24.3333333333333 3 13 4.33333333333333 7 10 20 18 8.33333333333333
"37" "GS100" 0.241579558652729 0.857142857142857 8.66666666666667 0.785714285714286 30.3333333333333 3 13 4.33333333333333 6 21 21 21 8.66666666666667
"38" "GS786" 0.241579558652729 0.857142857142857 7.06666666666667 0.857142857142857 33.3333333333333 4 24 6 6 11 11 11 4
"39" "GS474" 0.198025551684088 0.857142857142857 5.36666666666667 0.5 12.3333333333333 2 8 4 5 9.66666666666667 29 18 15.5
"40" "GS936" 0.209059233449477 1 7.2 0.928571428571429 13 5 30 6 5 4.5 9 7 2.4
"41" "GS550" 0.253774680603949 1 9.36666666666667 0.857142857142857 44.3333333333333 5 23 4.6 5 15 15 15 3.8
"42" "GS902" 0.227642276422764 1 7.06666666666667 0.928571428571429 30.3333333333333 4 27 6.75 5 10 10 10 3.5
"43" "GS187" NA NA 0.7 NA 3 1 2 2 3 13 39 34 NA
"44" "GS285" 0.241579558652729 1 9.06666666666667 0.928571428571429 44.3333333333333 3 25 8.33333333333333 4 7 14 12 5.33333333333333
"45" "GS169" 0.142276422764228 0.714285714285714 4.16666666666667 0.5 16.3333333333333 3 7 2.33333333333333 4 16.5 33 29 11.6666666666667
"46" "GS803" 0.250871080139373 0.857142857142857 7.6 0.857142857142857 37 3 22 7.33333333333333 5 7.5 15 13 6
"47" "GS708" 0.253774680603949 0.857142857142857 8.96666666666667 0.857142857142857 44.3333333333333 5 23 4.6 5 15 15 15 3.8
"48" "GS478" 0.209059233449477 0.714285714285714 6 0.714285714285714 28 3 9 3 6 13 26 24 10
